,Product,Count
0, order.finalized*300001275*order.subtotal*174.00,1
1,pddimage*ljv_0873*link3,3
2, 3104,1
3,pddtitle*ljv_0464*link2,7
4, 4218,1
5, display.product*tlg_0028*cremeadelgacanteerefirmante,2
6, display.product*btn_0023*sapatoabotinadoemcamurcaroxa-baltarini,1
7,display.product*lon_4003*pumpsemcamurcapretaestiletodourado-luisonofre,3
8,display.product*lon_4016*stilettosemcamurcaverdeedetalhesdourados-luisonofre,2
9,calcado,2
10, display.product*tkj_0133*pulseirajoannadourada,1
11, 4016,1
12, orderonline*ljv_0529*link4,3
13,/sam-contacts,1
14, display.product*ljv_0020*porta-chavescomcamaraoculta,8
15, botasplanasydemontar,2
16, display.product*lon_1079*malaluisonofreazulceu,1
17, parceiroshrevo,1
18, 3500,1
19, order.finalized*300001267*order.subtotal*171.00,1
20, 0591,2
21, porcelanas,4
22, order.finalized*300001217*order.subtotal*185.00,1
23, display.product*ljv_0135*spyscope-telescopioemicroscopio2em1,4
24, display.product*lon_4501*botasempelecastanhochocolatecomaplicacaodourada-luisonofre,29
25, display.product*lon_4102*brownleatherbootieswithswarovskicristalsandfur-luisonofre,1
26, 0528,1
27, display.product*ljv_0353*luzc/60ledsparautilizacoesvarias-comsistemaparapendurar,5
28, display.product*ckl_0003*sapatossullytexturadosecomfivela-calvinklein,2
29, /?t+3cism7hw3evhjxs18j1s0ds1n5b8zr87&c+lon%2apdd27122011,1
30, /ljv-legal,1
31, display.product*ljv_0149*tubodeneonazul-efeitoondulacao,1
32, order.finalized*200000375*order.subtotal*35.90,1
33, display.product*muu_0130*sacomosquetaoempeledevacaleopardo,1
34, display.product*lon_3212*luisonofrepitonleathersandals,1
35, display.product*tlg_0019*cremesublime,1
36, display.product*ljv_0239*frigorificocomligacaousbparalatasdebebida-usbfridge,2
37, /open-toe/pumps-e-pele-croco-bordeaux-luis-onofre.html,2
38,display.product*lon_4501*botasempelecastanhochocolatecomaplicacaodourada-luisonofre,3
39, cobertor,1
40, display.product*lon_4103*camelleatherbottieswithgoldendetails-luisonofre,2
41, transmissor,1
42, display.product*pls_0037*sandaliasplataformacomaplicacaodiamante,2
43,lon_4014,8
44, strapmount,1
45, 7015,1
46, display.product*tlg_0303*marcadorhialuronico,3
47, vinhos,1
48,pumpsandopentoes,2
49, order.finalized*300001084*order.subtotal*271.00,1
50, display.product*ljv_0010*scooba385-sistemadelavagemautomaticadairobot,2
51, 1stclass,11
52,display.product*lon_4306*malaempeletexturadabordeaux-luisonofre,1
53, order.subtotal*84.9*order.incrementid*200000331,1
54, 2009,1
55, display.product*lon_2415*portacd'sedvd'sluisonofreempelepreta,1
56, display.product*hrl_2008*botascastanhascompespontos-daphnedupe,2
57, /?gclid+cluvzcyb0k0cfs9itaodmlp9la,1
58, display.product*lon_3402*sabrinasluisonofreempeletaupeedetalhesdeplumasecristaisswarovski,5
59, 4118,2
60, order.finalized*400000134*order.subtotal*217.00,1
61, 4211,2
62, ballerinas,10
63, /?t+jrscgqnyzu6yg8nhmwbrx885yfxsw548&c+lon%2apdd26012012,1
64, /botas/botas-em-pele-preta-e-detalhes-dourados-luis-onofre.html,1
65, display.product*ljv_0084*crachaidentificativoluminoso-personalizavelcominformacaorotativa(electronicbadge),2
66, display.product*lon_2142*botasluisonofreestiloesquimoempeletaupe,1
67, display.product*tlg_1008*celluoceane-suplementoalimentar,3
68, catapulta,1
69, /software_espiao_p__telemovel/prod1105.html,1
70, disclaimer,1
71,cubmota,1
72, display.product*ljv_0212*mini-quad90cc4tempos(auto),4
73, substituicao,1
74, bio,1
75, display.product*ljv_0042*usbmailnotifier-alertaquandochegaume-mail,2
76,comfuncaopan/tilt,2
77, display.product*lon_4016*stilettosengamuzadepielydetallesdorados-luisonofre,10
78, display.product*cla_0013*balancawc,1
79,display.product*ljv_0414*camaragobandithdc/gps-gpshdactioncamfromgobandit,9
80, order.finalized*300001285*order.subtotal*159.00,1
81, display.product*lon_4211*galochasemcastanhochocolate-luisonofre,32
82, display.product*lon_4011*pumpsempelebegeluisonofre,7
83, display.product*lon_4100*darkgreensuedebootieswithgoldendetails-luisonofre,1
84, display.product*sam_0107*b-litespinner55cm-azul,1
85, /customer/account/,20
86, display.product*lon_2216*botasluisonofreenpielmarronycristalesswarovski,1
87, /?t+3cism7hw3evhjxs18j1s0ds1n5b8zr87&c+lon%2apdd29122011,1
88, 2752,1
89, display.product*lon_3109*sandaliasluisonofreempeleesarjacomaplicacaoemmetal,2
90, display.product*lon_4117*botinesopentoeenpielpiton-luisonofre,2
91, folho,5
92, productlegend*ljv_0060*link5,1
93, display.product*ljv_0461*aspiramaxdavileda,1
94, newsletter.subscription*domgas99@gmail.com,1
95, order.finalized*900000078*order.subtotal*134.60,1
96,display.product*lon_4216*botasdemontarenpielcamel-luisonofre,1
97, eas_0010,1
98, /sales/order/view/order_id/2718/,1
99, 4117,2
100, /?newsletter,14
101, newsletter.subscription*perdigao4435@yahoo.com,1
102, club,3
103, display.product*ljv_0186*minirobopet-'oirmaomaisnovodorobopet'',1
104,display.product*lon_4504*botasemcamurcaverdeelacolateral-luisonofre,12
105, /botas/botas-rasas-e-cavaleiro/botas-rasas-em-camurca-verde-seco-e-detalhes-dourados-luis-onofre.html,2
106, display.product*ljv_0499*quirky-cordies,2
107, display.product*ljv_0455*staffontimeplusii-agoraate360funcionarios,2
108, order.finalized*200000318*order.subtotal*339.90,1
109, display.category*homepage,261
110,manual),1
111, display.product*lon_4016*stilettosemcamurcaverdeedetalhesdourados-luisonofre,40
112, lon_4014,66
113, order.subtotal*64.9*order.incrementid*200000380,1
114, cart.addproduct*lon_4508*259.0000,1
115, display.product*lon_2124*botasluisonofreempelepretaecristaisswarovski,9
116, /sales/order/view/order_id/2125/,1
117, display.product*ckl_0012*botinscinzentoskaoricomdetalheempelo-calvinklein,6
118,display.product*lon_3301*sandaliasdecunhaluisonofreempele,1
119, display.product*ljv_0243*surfheroexpansion,2
120, /botins/botins-em-pele-camel-e-detalhes-dourados-luis-onofre.html,1
121,display.product*lon_4002*pumpsemcamurcaverdeescuro-luisonofre,2
122,display.product*ljv_0140*messless-connectingdreams-carregadoruniversalcompativelcomiphone,1
123, display.product*pbr_2004*botinsempelecastanha,8
124, display.product*ljv_0231*powerlineethernetadapterstarterkitconstruaasuaredeethernetatravesdaredeelectrica,2
125, /sales/order/view/order_id/2687/,1
126, /?gclid+cndv47ewtq0cfuupfaodyfhsmg,1
127, cart.addproduct*tlg_0044*33.7500,1
128,/?newsletter,3
129,/?gclid+ckrolv6axk0cfs9itaodttcf_a,1
130,furandswarovsicristals-luisonofre,1
131,sabrinas,4
132, 2012,1
133,display.product*lon_4218*botasplanasenpieldegamuzaverdesecoydetallesdorados-luisonofre,1
134, display.product*pls_0007*sandaliasdouradasmini-plataformacomdetalhedebrilhantesecetim,1
135, order.finalized*200000376*order.subtotal*119.90,1
136, cart.addproduct*ljv_0213*214.9000,1
137, display.product*ljv_0444*gopro-floatybackdoor,2
138, display.product*lon_4507*botasenpielgris-luisonofre,2
139, order.finalized*2300000025*order.subtotal*45.90,1
140, display.product*ljv_0003*micro-projector,2
141,lon_4108,11
142, display.product*lon_3002*pumpsluisonofreemgangaecristaisswarovski,7
143, display.product*ljv_0168*despertadororegonscientificcomsimuladordeamanhecer,2
144, /sales/order/view/order_id/2629/,1
145, /?t+ewwbq0i4u3fosxuraqkmis1d444fokoj&c+ljv%2apdd12012012,1
146, display.product*pls_0036*sandaliasplataformastrippersexyribbon,2
147, cart.addproduct*lon_4506*282.0000,1
148, display.product*hrl_2005*botinscastanhoscomefeitobordado-rachelrice,1
149, 2137,1
150, display.product*lon_4505*pitonleatherboot-luisonofre,4
151, cdz_0008,2
152, notifie,1
153, /?t+g7n2dh4udxszu64ruf2f5aju0jkmk2en&c+lon%2apdd06012012,1
154, 412,1
155, display.product*lon_2416*carteiraporta-moedasluisonofreempelepreta,1
156, newsletter.subscription*jjt.toito@gmail.com,1
157,display.product*ljv_0472*camaracontour+,1
158, newsletter.subscription*silviasepulveda82@gmail.com,1
159, orderonline*ljv_0031*link4,2
160, display.product*lon_4502*irisbootwithgoldenstiletto-luisonofre,3
161, display.product*lon_3304*luisonofrewedgesandalsinleatherwithflowerapplications,1
162, /?gclid+cjcav6oyxq0cfcmmtaodm2bngw,1
163, orderonline*ljv_0021*link4,1
164, cart.addproduct*lon_4119*171.0000,2
165, display.product*lon_4216*camelleatherridingboots-luisonofre,2
166, display.product*lon_4207*botasdemontarenpielnegra-luisonofre,4
167, acessorios,41
168, gelo,1
169, display.product*pls_0072*pumpsemvernizvermelho,1
170,acessoriosdiversos,1
171, display.product*hrl_2045*botaspretascomatilhosesaltosemmadeira-isobelincredible,2
172, botimempelepitonpreta,1
173, pumpyopentoes,14
174, display.product*lon_4508*botaempelecastanhamogno-luisonofre,84
175, display.product*ljv_0272*dvrwi-fi4ccdmoto-osistemadegravacaoocultoate380o,2
176, rosto,4
177, intro*fbpage*link1,58
178, productlegend*ljv_0414*link5,4
179, display.product*ljv_0009*roomba531-robotaspirador,1
180, display.product*eas_0205*botaaltapreta-egidioalves,1
181, display.product*ljv_0195*usbcell-apilharecarregavelviausb(pack2pilhasaa),4
182, order.finalized*300001255*order.subtotal*188.00,1
183, tecnologia,78
184, /?t+zhvsljmiuteboj5tlqp3v8pzmsxwxu5c&c+lon%2apdd23012012,1
185, display.product*ljv_0007*roomba555-robotaspiradorautomaticodairobot,1
186, linhamaterna,1
187,capasipadeiphone,1
188, /?t+ahoexib8sgzyxguqiep1r6cfu4m0kh5q&c+lon%2apdd26012012,1
189, /?gclid+cn3bvuf81k0cfrihtaod4t4t2a,1
190, display.product*pdg_0003*sandaliasempelecamel-pedrogarcia,2
191, display.product*ljv_0273*dvrwi-ficcdquadro-osistemadegravacaonumapecadedecoracao,1
192, display.product*lon_4006*bordeauxcrocoleatherpumps-luisonofre,5
193, display.product*jat_0201*conjuntocompletonoran,1
194, display.product*chk_0007*sandaliaskeniaempreto-chk10,1
195, cart.addproduct*sam_0032*158.0000,1
196, lace-up,3
197, display.product*lon_4116*botinsopentoeempelepiton-luisonofre,19
198, display.product*sam_0141*doublemoneybelt-cintoduploparadinheiro,1
199, /stx-customer-support,9
200, order.subtotal*94.9*order.incrementid*200000310,1
201,display.product*ljv_0143*winelock-alarmeparagarrafas,1
202, /?gclid+cimv5tzo0q0cfcsktaoddmw8lg,1
203, display.product*lon_5001*cheque-ofertaluisonofre,1
204, display.product*lon_2443*portanet-bookluisonofreempelepreta,1
205,display.product*lon_4211*galochasemcastanhochocolate-luisonofre,1
206, display.product*ljv_0400*tripod-adaptadorparatripesstandardparaacamaragopro,1
207, order.finalized*300001360*order.subtotal*173.00,1
208, display.product*lon_3302*sandaliasdecunhaluisonofreempeletaupe,4
209, display.product*ljv_0432*gopro3dhero,2
210, possolar,1
